               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,       metrics/1_mAP,      metrics/10_mAP,      metrics/11_mAP,      metrics/12_mAP,       metrics/2_mAP,       metrics/3_mAP,       metrics/4_mAP,       metrics/5_mAP,       metrics/6_mAP,       metrics/7_mAP,       metrics/8_mAP,       metrics/9_mAP,    metrics/1_mAP_50,   metrics/10_mAP_50,   metrics/11_mAP_50,   metrics/12_mAP_50,    metrics/2_mAP_50,    metrics/3_mAP_50,    metrics/4_mAP_50,    metrics/5_mAP_50,    metrics/6_mAP_50,    metrics/7_mAP_50,    metrics/8_mAP_50,    metrics/9_mAP_50
                   0,            0.060096,             0.10534,             0.05947,             0.17956,             0.46868,             0.19605,            0.094172,            0.045815,             0.11412,            0.051185,            0.070026,           0.0033304,           0.0033304,            0.061754,             0.18199,            0.098219,            0.037027,             0.08644,            0.039016,             0.26647,            0.062237,            0.044585,            0.064617,             0.10069,            0.087026,              0.1231,             0.47684,             0.17672,            0.078873,             0.16288,            0.069144,             0.58411,             0.10967,            0.086727,             0.13709,             0.18734,             0.16008
                   1,            0.049483,            0.092108,             0.04562,             0.40522,             0.51112,             0.36805,             0.21472,            0.041436,             0.11336,            0.039109,             0.03996,           0.0065978,           0.0065978,             0.17471,             0.30381,             0.24769,            0.075852,             0.20501,             0.20122,             0.36979,             0.20425,             0.11236,             0.18105,              0.2303,             0.27063,             0.30712,             0.63104,             0.37639,             0.12922,             0.31603,             0.33239,             0.67125,             0.31433,             0.18726,             0.32727,             0.35937,             0.46496
                   2,            0.046827,            0.092039,             0.03624,             0.62655,             0.57719,             0.53889,             0.31875,            0.040339,             0.10946,             0.02945,           0.0098282,           0.0097992,           0.0097992,             0.37186,             0.32874,             0.26172,             0.28794,             0.25729,             0.38111,             0.40874,             0.24814,             0.32004,             0.33257,             0.24092,             0.38589,             0.67306,             0.65613,             0.40234,             0.47127,             0.38654,             0.61527,             0.71533,             0.36799,             0.54754,             0.60729,             0.38456,             0.63939
                   3,            0.044479,             0.09051,            0.030132,             0.74754,             0.51152,             0.56812,             0.33397,            0.042357,             0.12046,            0.026564,            0.009703,            0.009703,            0.009703,             0.41446,             0.29508,             0.31336,              0.3023,              0.2768,             0.35293,             0.39969,             0.30109,             0.33371,             0.35071,             0.29081,             0.37666,             0.71294,             0.61562,             0.51617,             0.51736,             0.48729,             0.56914,             0.67873,             0.44868,             0.55757,             0.63032,             0.46964,             0.61399
                   4,            0.042866,            0.087784,            0.025294,             0.90454,             0.61693,             0.69108,             0.43535,            0.039404,             0.10656,            0.019578,            0.009703,            0.009703,            0.009703,             0.47466,             0.35008,             0.50087,             0.37486,             0.45574,             0.39728,             0.40665,             0.48697,             0.40421,             0.45332,             0.48986,             0.42973,             0.79286,             0.65025,             0.73596,             0.59611,             0.66713,             0.64611,             0.71079,             0.70402,             0.64006,             0.73993,             0.72395,             0.68574
                   5,            0.041581,            0.086699,            0.023347,             0.88692,             0.60219,              0.6861,             0.43186,            0.038995,             0.10661,             0.02025,            0.009604,            0.009604,            0.009604,             0.46146,             0.35825,             0.50434,             0.37894,             0.44347,             0.40118,             0.40981,             0.47671,             0.40504,             0.44206,             0.49066,             0.41046,             0.76453,             0.65619,             0.75546,             0.60186,             0.66159,             0.63057,             0.70573,             0.69817,             0.63172,             0.72177,             0.73179,             0.67379
                   6,            0.040738,            0.085987,            0.021962,             0.89957,             0.64011,             0.70373,             0.44247,            0.038489,             0.10613,            0.017403,            0.009505,            0.009505,            0.009505,             0.49644,             0.36775,              0.4903,             0.39095,             0.45042,             0.41747,              0.4317,             0.45828,             0.41291,             0.45927,             0.49316,             0.44092,             0.80474,              0.6817,             0.74723,             0.61342,             0.67711,             0.64974,             0.72187,             0.71528,             0.64267,             0.76416,             0.73994,             0.68691
                   7,            0.040071,            0.084865,            0.020707,              0.9189,              0.6446,             0.71078,             0.46547,            0.037235,             0.10435,            0.017026,            0.009406,            0.009406,            0.009406,             0.49913,              0.3776,             0.53285,             0.40905,             0.48486,             0.43159,             0.43712,              0.5247,              0.4307,             0.48337,              0.5237,             0.45095,             0.80204,              0.6844,             0.76528,             0.62305,             0.69091,              0.6514,             0.72736,             0.72217,             0.65804,             0.77003,             0.74524,             0.68944
                   8,            0.039442,            0.083152,            0.019973,             0.91826,               0.628,             0.70614,             0.46341,            0.037142,             0.10452,            0.017566,            0.009307,            0.009307,            0.009307,             0.50828,             0.38586,              0.5395,             0.40086,             0.48324,             0.42225,              0.4464,             0.50608,             0.42438,             0.48377,             0.52119,             0.43917,             0.80962,             0.68377,             0.76533,             0.62055,             0.68369,             0.64355,             0.71761,             0.71597,             0.64427,             0.76662,             0.74101,             0.68164
                   9,            0.039038,            0.083036,            0.019296,             0.90386,             0.64489,             0.71197,             0.47224,            0.036595,             0.10476,            0.017018,            0.009208,            0.009208,            0.009208,             0.51491,             0.39461,             0.54358,              0.4098,             0.48772,             0.42912,             0.44703,             0.52834,             0.43608,             0.49449,             0.52826,             0.45297,             0.80286,              0.6948,             0.76708,             0.62433,             0.68635,             0.64902,             0.72011,             0.72657,             0.65885,             0.77493,             0.74962,             0.68907
                  10,            0.038631,            0.082212,            0.019012,             0.91984,             0.63922,             0.71159,             0.47316,            0.036583,             0.10382,            0.016562,            0.009109,            0.009109,            0.009109,               0.508,             0.38746,             0.55114,             0.41082,             0.49473,             0.43326,             0.45265,             0.52613,             0.43928,              0.4926,              0.5355,             0.44639,             0.80717,             0.68355,             0.76749,              0.6205,             0.68878,             0.64983,               0.724,             0.71851,             0.65803,             0.77604,             0.75861,             0.68658
                  11,             0.03823,            0.081735,            0.018628,             0.92021,             0.64217,             0.70782,             0.46182,            0.037127,             0.10509,            0.016481,             0.00901,             0.00901,             0.00901,             0.51011,             0.38519,             0.52982,             0.40464,             0.48172,             0.42083,             0.43699,              0.5141,             0.42111,             0.48855,              0.5094,             0.43932,               0.809,             0.68395,             0.76519,             0.62423,             0.69191,             0.63741,             0.70852,             0.72526,             0.64561,             0.76725,             0.75567,             0.67988
